Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular, .NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-tv-portfolio
"iOS, Swift, ARKit",https://example.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
"Data Analyst, Python, Pandas, SQL",https://example.com/data-analyst-portfolio
"Data Analyst, Power BI, Excel, SQL",https://example.com/powerbi-portfolio
"Data Scientist, Python, Scikit-learn",https://example.com/data-science-portfolio
"AI Engineer, Python, PyTorch",https://example.com/ai-engineer-portfolio
"Deep Learning, CNN, TensorFlow",https://example.com/deep-learning-portfolio
"NLP, Python, Hugging Face, Transformers",https://example.com/nlp-portfolio
"Computer Vision, OpenCV, PyTorch",https://example.com/computer-vision-portfolio
"MLOps, MLflow, Docker, Kubernetes",https://example.com/mlops-portfolio
"MLOps, AWS SageMaker, CI/CD",https://example.com/mlops-aws-portfolio
"Data Engineer, Spark, Hadoop, Airflow",https://example.com/data-engineer-portfolio
"Big Data, Kafka, Spark Streaming",https://example.com/big-data-portfolio
"Cloud Engineer, AWS, Terraform",https://example.com/cloud-aws-portfolio
"Cloud Engineer, GCP, BigQuery",https://example.com/cloud-gcp-portfolio
"AI Automation, LangChain, OpenAI API",https://example.com/langchain-portfolio
"RAG Systems, Vector DB, FAISS",https://example.com/rag-portfolio